For K Gaussians,Sig k=1,Sig k=2,Sig k=3,Sig k=4,Sig k=5,Sig k=6,Sig k=7,Sig k=8,Sig k=9,Sig k=10
1,845.7772335198174,253.88815008822456,444.66406823088204,379.3811914188532,364.78543336094384,253.7709245271973,208.04467873133626,416.09479504332177,188.30047606370582,270.91836659749083
2,,736.4963982292833,461.4622918633214,238.63646477994882,188.04519449314853,187.31590313907557,465.16464922666347,374.60598766957196,232.57652682946062,172.2216007467229
3,,,179.92040664548014,187.03754066358562,223.41366882546575,275.76550638628873,173.00187864545768,189.5895267964373,483.50567950659945,191.29992083314028
4,,,,284.2538137361669,286.97275546330513,223.37096862229663,211.9326809459699,181.21741594429753,366.62037584814345,354.756568795308
5,,,,,491.30049655140243,474.02505629249765,473.99994433033606,352.8107144462069,318.3783289855887,70.31417709942929
6,,,,,,365.9352194701306,473.56627624949994,187.03746853054852,242.16461484581714,426.707024590547
7,,,,,,,187.6692003464057,179.80133153601741,244.69091314284566,153.44874278153125
8,,,,,,,,293.64224773991214,192.17210205553485,269.1750975723903
9,,,,,,,,,466.76974288862596,407.44332994439986
10,,,,,,,,,,423.187470400053
